key,units_sold,day_1,day_2,day_3,day_4,day_5
01/05/12_9328.0,776.0,642.0,550.0,1248.0,688.0,479.0
01/05/12_9371.0,642.0,550.0,1248.0,688.0,479.0,545.0
01/05/12_9425.0,550.0,1248.0,688.0,479.0,545.0,516.0
01/05/12_9430.0,1248.0,688.0,479.0,545.0,516.0,787.0
01/05/12_9432.0,688.0,479.0,545.0,516.0,787.0,926.0
01/05/12_9436.0,479.0,545.0,516.0,787.0,926.0,1718.0
01/05/12_9439.0,545.0,516.0,787.0,926.0,1718.0,476.0
01/05/12_9442.0,516.0,787.0,926.0,1718.0,476.0,1016.0
01/05/12_9456.0,787.0,926.0,1718.0,476.0,1016.0,1241.0
01/05/12_9479.0,926.0,1718.0,476.0,1016.0,1241.0,423.0
01/05/12_9481.0,1718.0,476.0,1016.0,1241.0,423.0,1962.0
01/05/12_9490.0,476.0,1016.0,1241.0,423.0,1962.0,2071.0
01/05/12_9498.0,1016.0,1241.0,423.0,1962.0,2071.0,621.0
01/05/12_9532.0,1241.0,423.0,1962.0,2071.0,621.0,1166.0
01/05/12_9578.0,423.0,1962.0,2071.0,621.0,1166.0,664.0
01/05/12_9611.0,1962.0,2071.0,621.0,1166.0,664.0,220.0
01/05/12_9613.0,2071.0,621.0,1166.0,664.0,220.0,977.0
01/05/12_9632.0,621.0,1166.0,664.0,220.0,977.0,581.0
01/05/12_9672.0,1166.0,664.0,220.0,977.0,581.0,1203.0
01/05/12_9680.0,664.0,220.0,977.0,581.0,1203.0,519.0
01/05/12_9700.0,220.0,977.0,581.0,1203.0,519.0,640.0
01/05/12_9713.0,977.0,581.0,1203.0,519.0,640.0,954.0
01/05/12_9731.0,581.0,1203.0,519.0,640.0,954.0,768.0
01/05/12_9745.0,1203.0,519.0,640.0,954.0,768.0,2156.0
01/05/12_9770.0,519.0,640.0,954.0,768.0,2156.0,932.0
01/05/12_9789.0,640.0,954.0,768.0,2156.0,932.0,3350.0
01/05/12_9809.0,954.0,768.0,2156.0,932.0,3350.0,1330.0
01/05/12_9813.0,768.0,2156.0,932.0,3350.0,1330.0,990.0
01/05/12_9823.0,2156.0,932.0,3350.0,1330.0,990.0,730.0
01/05/12_9837.0,932.0,3350.0,1330.0,990.0,730.0,1208.0
01/05/12_9845.0,3350.0,1330.0,990.0,730.0,1208.0,1216.0
01/05/12_9872.0,1330.0,990.0,730.0,1208.0,1216.0,797.0
01/05/12_9876.0,990.0,730.0,1208.0,1216.0,797.0,1274.0
01/05/12_9879.0,730.0,1208.0,1216.0,797.0,1274.0,656.0
01/05/12_9880.0,1208.0,1216.0,797.0,1274.0,656.0,1505.0
01/05/12_9881.0,1216.0,797.0,1274.0,656.0,1505.0,790.0
01/05/12_9890.0,797.0,1274.0,656.0,1505.0,790.0,1704.0
01/05/12_9909.0,1274.0,656.0,1505.0,790.0,1704.0,571.0
01/05/12_9954.0,656.0,1505.0,790.0,1704.0,571.0,490.0
01/05/12_9961.0,1505.0,790.0,1704.0,571.0,490.0,186.0
01/05/12_9984.0,790.0,1704.0,571.0,490.0,186.0,762.0
01/08/11_8023.0,1704.0,571.0,490.0,186.0,762.0,1085.0
01/08/11_8058.0,571.0,490.0,186.0,762.0,1085.0,555.0
01/08/11_8063.0,490.0,186.0,762.0,1085.0,555.0,258.0
01/08/11_8091.0,186.0,762.0,1085.0,555.0,258.0,993.0
01/08/11_8094.0,762.0,1085.0,555.0,258.0,993.0,1143.0
01/08/11_8095.0,1085.0,555.0,258.0,993.0,1143.0,198.0
01/08/11_8121.0,555.0,258.0,993.0,1143.0,198.0,187.0
01/08/11_8218.0,258.0,993.0,1143.0,198.0,187.0,648.0
01/08/11_8222.0,993.0,1143.0,198.0,187.0,648.0,346.0
01/08/11_8317.0,1143.0,198.0,187.0,648.0,346.0,470.0
01/08/11_8319.0,198.0,187.0,648.0,346.0,470.0,813.0
01/08/11_8392.0,187.0,648.0,346.0,470.0,813.0,172.0
01/08/11_8398.0,648.0,346.0,470.0,813.0,172.0,925.0
01/08/11_8400.0,346.0,470.0,813.0,172.0,925.0,926.0
01/08/11_8422.0,470.0,813.0,172.0,925.0,926.0,415.0
01/08/11_8438.0,813.0,172.0,925.0,926.0,415.0,728.0
01/08/11_8555.0,172.0,925.0,926.0,415.0,728.0,24.0
01/08/11_8562.0,925.0,926.0,415.0,728.0,24.0,472.0
01/08/11_8869.0,926.0,415.0,728.0,24.0,472.0,529.0
01/08/11_8911.0,415.0,728.0,24.0,472.0,529.0,1347.0
01/08/11_8991.0,728.0,24.0,472.0,529.0,1347.0,221.0
01/08/11_9001.0,24.0,472.0,529.0,1347.0,221.0,718.0
01/08/11_9043.0,472.0,529.0,1347.0,221.0,718.0,860.0
01/08/11_9092.0,529.0,1347.0,221.0,718.0,860.0,119.0
01/08/11_9112.0,1347.0,221.0,718.0,860.0,119.0,726.0
01/08/11_9132.0,221.0,718.0,860.0,119.0,726.0,379.0
01/08/11_9147.0,718.0,860.0,119.0,726.0,379.0,852.0
01/08/11_9164.0,860.0,119.0,726.0,379.0,852.0,654.0
01/08/11_9178.0,119.0,726.0,379.0,852.0,654.0,673.0
01/08/11_9190.0,726.0,379.0,852.0,654.0,673.0,365.0
01/08/11_9221.0,379.0,852.0,654.0,673.0,365.0,486.0
01/08/11_9250.0,852.0,654.0,673.0,365.0,486.0,385.0
01/08/11_9273.0,654.0,673.0,365.0,486.0,385.0,218.0
01/08/11_9279.0,673.0,365.0,486.0,385.0,218.0,515.0
01/08/11_9281.0,365.0,486.0,385.0,218.0,515.0,464.0
01/08/11_9328.0,486.0,385.0,218.0,515.0,464.0,247.0
01/08/11_9371.0,385.0,218.0,515.0,464.0,247.0,194.0
01/08/11_9425.0,218.0,515.0,464.0,247.0,194.0,474.0
01/08/11_9430.0,515.0,464.0,247.0,194.0,474.0,350.0
01/08/11_9432.0,464.0,247.0,194.0,474.0,350.0,591.0
01/08/11_9436.0,247.0,194.0,474.0,350.0,591.0,865.0
01/08/11_9439.0,194.0,474.0,350.0,591.0,865.0,367.0
01/08/11_9442.0,474.0,350.0,591.0,865.0,367.0,470.0
01/08/11_9456.0,350.0,591.0,865.0,367.0,470.0,831.0
01/08/11_9479.0,591.0,865.0,367.0,470.0,831.0,327.0
01/08/11_9481.0,865.0,367.0,470.0,831.0,327.0,1027.0
01/08/11_9490.0,367.0,470.0,831.0,327.0,1027.0,1195.0
01/08/11_9498.0,470.0,831.0,327.0,1027.0,1195.0,523.0
01/08/11_9532.0,831.0,327.0,1027.0,1195.0,523.0,475.0
01/08/11_9578.0,327.0,1027.0,1195.0,523.0,475.0,240.0
01/08/11_9611.0,1027.0,1195.0,523.0,475.0,240.0,67.0
01/08/11_9613.0,1195.0,523.0,475.0,240.0,67.0,793.0
01/08/11_9632.0,523.0,475.0,240.0,67.0,793.0,398.0
01/08/11_9672.0,475.0,240.0,67.0,793.0,398.0,807.0
01/08/11_9680.0,240.0,67.0,793.0,398.0,807.0,217.0
01/08/11_9700.0,67.0,793.0,398.0,807.0,217.0,345.0
01/08/11_9713.0,793.0,398.0,807.0,217.0,345.0,563.0
01/08/11_9731.0,398.0,807.0,217.0,345.0,563.0,285.0
01/08/11_9745.0,807.0,217.0,345.0,563.0,285.0,1376.0
01/08/11_9770.0,217.0,345.0,563.0,285.0,1376.0,549.0
01/08/11_9789.0,345.0,563.0,285.0,1376.0,549.0,1278.0
01/08/11_9809.0,563.0,285.0,1376.0,549.0,1278.0,853.0
01/08/11_9813.0,285.0,1376.0,549.0,1278.0,853.0,308.0
01/08/11_9823.0,1376.0,549.0,1278.0,853.0,308.0,289.0
01/08/11_9837.0,549.0,1278.0,853.0,308.0,289.0,601.0
01/08/11_9845.0,1278.0,853.0,308.0,289.0,601.0,895.0
01/08/11_9872.0,853.0,308.0,289.0,601.0,895.0,582.0
01/08/11_9876.0,308.0,289.0,601.0,895.0,582.0,572.0
01/08/11_9879.0,289.0,601.0,895.0,582.0,572.0,405.0
01/08/11_9880.0,601.0,895.0,582.0,572.0,405.0,732.0
01/08/11_9881.0,895.0,582.0,572.0,405.0,732.0,461.0
01/08/11_9890.0,582.0,572.0,405.0,732.0,461.0,1680.0
01/08/11_9909.0,572.0,405.0,732.0,461.0,1680.0,612.0
01/08/11_9954.0,405.0,732.0,461.0,1680.0,612.0,934.0
01/08/11_9961.0,732.0,461.0,1680.0,612.0,934.0,173.0
01/08/11_9984.0,461.0,1680.0,612.0,934.0,173.0,972.0
02/01/12_8023.0,1680.0,612.0,934.0,173.0,972.0,954.0
02/01/12_8058.0,612.0,934.0,173.0,972.0,954.0,529.0
02/01/12_8063.0,934.0,173.0,972.0,954.0,529.0,425.0
02/01/12_8091.0,173.0,972.0,954.0,529.0,425.0,912.0
02/01/12_8094.0,972.0,954.0,529.0,425.0,912.0,782.0
02/01/12_8095.0,954.0,529.0,425.0,912.0,782.0,252.0
02/01/12_8121.0,529.0,425.0,912.0,782.0,252.0,191.0
02/01/12_8218.0,425.0,912.0,782.0,252.0,191.0,701.0
02/01/12_8222.0,912.0,782.0,252.0,191.0,701.0,320.0
02/01/12_8317.0,782.0,252.0,191.0,701.0,320.0,547.0
02/01/12_8319.0,252.0,191.0,701.0,320.0,547.0,1437.0
02/01/12_8392.0,191.0,701.0,320.0,547.0,1437.0,146.0
02/01/12_8398.0,701.0,320.0,547.0,1437.0,146.0,751.0
02/01/12_8400.0,320.0,547.0,1437.0,146.0,751.0,790.0
02/01/12_8422.0,547.0,1437.0,146.0,751.0,790.0,685.0
02/01/12_8438.0,1437.0,146.0,751.0,790.0,685.0,965.0
02/01/12_8555.0,146.0,751.0,790.0,685.0,965.0,21.0
02/01/12_8562.0,751.0,790.0,685.0,965.0,21.0,495.0
02/01/12_8869.0,790.0,685.0,965.0,21.0,495.0,569.0
02/01/12_8911.0,685.0,965.0,21.0,495.0,569.0,1381.0
02/01/12_8991.0,965.0,21.0,495.0,569.0,1381.0,354.0
02/01/12_9001.0,21.0,495.0,569.0,1381.0,354.0,620.0
02/01/12_9043.0,495.0,569.0,1381.0,354.0,620.0,704.0
02/01/12_9092.0,569.0,1381.0,354.0,620.0,704.0,224.0
02/01/12_9112.0,1381.0,354.0,620.0,704.0,224.0,722.0
02/01/12_9132.0,354.0,620.0,704.0,224.0,722.0,526.0
02/01/12_9147.0,620.0,704.0,224.0,722.0,526.0,1046.0
02/01/12_9164.0,704.0,224.0,722.0,526.0,1046.0,707.0
02/01/12_9178.0,224.0,722.0,526.0,1046.0,707.0,868.0
02/01/12_9190.0,722.0,526.0,1046.0,707.0,868.0,417.0
02/01/12_9221.0,526.0,1046.0,707.0,868.0,417.0,673.0
02/01/12_9250.0,1046.0,707.0,868.0,417.0,673.0,412.0
02/01/12_9273.0,707.0,868.0,417.0,673.0,412.0,337.0
02/01/12_9279.0,868.0,417.0,673.0,412.0,337.0,504.0
02/01/12_9281.0,417.0,673.0,412.0,337.0,504.0,673.0
02/01/12_9328.0,673.0,412.0,337.0,504.0,673.0,511.0
02/01/12_9371.0,412.0,337.0,504.0,673.0,511.0,311.0
02/01/12_9425.0,337.0,504.0,673.0,511.0,311.0,288.0
02/01/12_9430.0,504.0,673.0,511.0,311.0,288.0,598.0
02/01/12_9432.0,673.0,511.0,311.0,288.0,598.0,709.0
02/01/12_9436.0,511.0,311.0,288.0,598.0,709.0,919.0
02/01/12_9439.0,311.0,288.0,598.0,709.0,919.0,479.0
02/01/12_9442.0,288.0,598.0,709.0,919.0,479.0,631.0
02/01/12_9456.0,598.0,709.0,919.0,479.0,631.0,917.0
02/01/12_9479.0,709.0,919.0,479.0,631.0,917.0,315.0
02/01/12_9481.0,919.0,479.0,631.0,917.0,315.0,1151.0
02/01/12_9490.0,479.0,631.0,917.0,315.0,1151.0,1114.0
02/01/12_9498.0,631.0,917.0,315.0,1151.0,1114.0,438.0
02/01/12_9532.0,917.0,315.0,1151.0,1114.0,438.0,466.0
02/01/12_9578.0,315.0,1151.0,1114.0,438.0,466.0,392.0
02/01/12_9611.0,1151.0,1114.0,438.0,466.0,392.0,49.0
02/01/12_9613.0,1114.0,438.0,466.0,392.0,49.0,783.0
02/01/12_9632.0,438.0,466.0,392.0,49.0,783.0,338.0
02/01/12_9672.0,466.0,392.0,49.0,783.0,338.0,733.0
02/01/12_9680.0,392.0,49.0,783.0,338.0,733.0,278.0
02/01/12_9700.0,49.0,783.0,338.0,733.0,278.0,609.0
02/01/12_9713.0,783.0,338.0,733.0,278.0,609.0,544.0
02/01/12_9731.0,338.0,733.0,278.0,609.0,544.0,676.0
02/01/12_9745.0,733.0,278.0,609.0,544.0,676.0,1045.0
02/01/12_9770.0,278.0,609.0,544.0,676.0,1045.0,568.0
02/01/12_9789.0,609.0,544.0,676.0,1045.0,568.0,1291.0
02/01/12_9809.0,544.0,676.0,1045.0,568.0,1291.0,1059.0
02/01/12_9813.0,676.0,1045.0,568.0,1291.0,1059.0,724.0
02/01/12_9823.0,1045.0,568.0,1291.0,1059.0,724.0,589.0
02/01/12_9837.0,568.0,1291.0,1059.0,724.0,589.0,1185.0
02/01/12_9845.0,1291.0,1059.0,724.0,589.0,1185.0,850.0
02/01/12_9872.0,1059.0,724.0,589.0,1185.0,850.0,545.0
02/01/12_9876.0,724.0,589.0,1185.0,850.0,545.0,539.0
02/01/12_9879.0,589.0,1185.0,850.0,545.0,539.0,467.0
02/01/12_9880.0,1185.0,850.0,545.0,539.0,467.0,781.0
02/01/12_9881.0,850.0,545.0,539.0,467.0,781.0,524.0
02/01/12_9890.0,545.0,539.0,467.0,781.0,524.0,2221.0
02/01/12_9909.0,539.0,467.0,781.0,524.0,2221.0,729.0
02/01/12_9954.0,467.0,781.0,524.0,2221.0,729.0,717.0
02/01/12_9961.0,781.0,524.0,2221.0,729.0,717.0,181.0
02/01/12_9984.0,524.0,2221.0,729.0,717.0,181.0,1096.0
02/04/13_8023.0,2221.0,729.0,717.0,181.0,1096.0,1163.0
02/04/13_8058.0,729.0,717.0,181.0,1096.0,1163.0,626.0
02/04/13_8063.0,717.0,181.0,1096.0,1163.0,626.0,393.0
02/04/13_8091.0,181.0,1096.0,1163.0,626.0,393.0,1718.0
02/04/13_8094.0,1096.0,1163.0,626.0,393.0,1718.0,827.0
02/04/13_8095.0,1163.0,626.0,393.0,1718.0,827.0,196.0
02/04/13_8121.0,626.0,393.0,1718.0,827.0,196.0,196.0
02/04/13_8218.0,393.0,1718.0,827.0,196.0,196.0,998.0
02/04/13_8222.0,1718.0,827.0,196.0,196.0,998.0,658.0
02/04/13_8317.0,827.0,196.0,196.0,998.0,658.0,799.0
02/04/13_8319.0,196.0,196.0,998.0,658.0,799.0,1089.0
02/04/13_8392.0,196.0,998.0,658.0,799.0,1089.0,250.0
02/04/13_8398.0,998.0,658.0,799.0,1089.0,250.0,1051.0
02/04/13_8400.0,658.0,799.0,1089.0,250.0,1051.0,970.0
02/04/13_8422.0,799.0,1089.0,250.0,1051.0,970.0,554.0
02/04/13_8438.0,1089.0,250.0,1051.0,970.0,554.0,1269.0
02/04/13_8555.0,250.0,1051.0,970.0,554.0,1269.0,20.0
02/04/13_8562.0,1051.0,970.0,554.0,1269.0,20.0,601.0
02/04/13_8869.0,970.0,554.0,1269.0,20.0,601.0,692.0
02/04/13_8911.0,554.0,1269.0,20.0,601.0,692.0,1360.0
02/04/13_8991.0,1269.0,20.0,601.0,692.0,1360.0,422.0
02/04/13_9001.0,20.0,601.0,692.0,1360.0,422.0,889.0
02/04/13_9043.0,601.0,692.0,1360.0,422.0,889.0,884.0
02/04/13_9092.0,692.0,1360.0,422.0,889.0,884.0,235.0
02/04/13_9112.0,1360.0,422.0,889.0,884.0,235.0,765.0
02/04/13_9132.0,422.0,889.0,884.0,235.0,765.0,565.0
02/04/13_9147.0,889.0,884.0,235.0,765.0,565.0,1166.0
02/04/13_9164.0,884.0,235.0,765.0,565.0,1166.0,1026.0
02/04/13_9178.0,235.0,765.0,565.0,1166.0,1026.0,814.0
02/04/13_9190.0,765.0,565.0,1166.0,1026.0,814.0,486.0
02/04/13_9221.0,565.0,1166.0,1026.0,814.0,486.0,657.0
02/04/13_9250.0,1166.0,1026.0,814.0,486.0,657.0,379.0
02/04/13_9273.0,1026.0,814.0,486.0,657.0,379.0,413.0
02/04/13_9279.0,814.0,486.0,657.0,379.0,413.0,578.0
02/04/13_9281.0,486.0,657.0,379.0,413.0,578.0,671.0
02/04/13_9328.0,657.0,379.0,413.0,578.0,671.0,288.0
02/04/13_9371.0,379.0,413.0,578.0,671.0,288.0,387.0
02/04/13_9425.0,413.0,578.0,671.0,288.0,387.0,366.0
02/04/13_9430.0,578.0,671.0,288.0,387.0,366.0,573.0
02/04/13_9432.0,671.0,288.0,387.0,366.0,573.0,614.0
02/04/13_9436.0,288.0,387.0,366.0,573.0,614.0,983.0
02/04/13_9439.0,387.0,366.0,573.0,614.0,983.0,425.0
02/04/13_9442.0,366.0,573.0,614.0,983.0,425.0,624.0
02/04/13_9456.0,573.0,614.0,983.0,425.0,624.0,872.0
02/04/13_9479.0,614.0,983.0,425.0,624.0,872.0,445.0
02/04/13_9481.0,983.0,425.0,624.0,872.0,445.0,1461.0
02/04/13_9490.0,425.0,624.0,872.0,445.0,1461.0,1453.0
02/04/13_9498.0,624.0,872.0,445.0,1461.0,1453.0,523.0
02/04/13_9532.0,872.0,445.0,1461.0,1453.0,523.0,614.0
02/04/13_9578.0,445.0,1461.0,1453.0,523.0,614.0,563.0
02/04/13_9611.0,1461.0,1453.0,523.0,614.0,563.0,42.0
02/04/13_9613.0,1453.0,523.0,614.0,563.0,42.0,789.0
02/04/13_9632.0,523.0,614.0,563.0,42.0,789.0,420.0
02/04/13_9672.0,614.0,563.0,42.0,789.0,420.0,833.0
02/04/13_9680.0,563.0,42.0,789.0,420.0,833.0,466.0
02/04/13_9700.0,42.0,789.0,420.0,833.0,466.0,480.0
02/04/13_9713.0,789.0,420.0,833.0,466.0,480.0,624.0
02/04/13_9731.0,420.0,833.0,466.0,480.0,624.0,570.0
02/04/13_9745.0,833.0,466.0,480.0,624.0,570.0,1493.0
02/04/13_9770.0,466.0,480.0,624.0,570.0,1493.0,732.0
02/04/13_9789.0,480.0,624.0,570.0,1493.0,732.0,1932.0
02/04/13_9809.0,624.0,570.0,1493.0,732.0,1932.0,1273.0
02/04/13_9813.0,570.0,1493.0,732.0,1932.0,1273.0,494.0
02/04/13_9823.0,1493.0,732.0,1932.0,1273.0,494.0,517.0
02/04/13_9837.0,732.0,1932.0,1273.0,494.0,517.0,711.0
02/04/13_9845.0,1932.0,1273.0,494.0,517.0,711.0,987.0
02/04/13_9872.0,1273.0,494.0,517.0,711.0,987.0,565.0
02/04/13_9876.0,494.0,517.0,711.0,987.0,565.0,665.0
02/04/13_9879.0,517.0,711.0,987.0,565.0,665.0,708.0
02/04/13_9880.0,711.0,987.0,565.0,665.0,708.0,935.0
02/04/13_9881.0,987.0,565.0,665.0,708.0,935.0,699.0
02/04/13_9890.0,565.0,665.0,708.0,935.0,699.0,1744.0
02/04/13_9909.0,665.0,708.0,935.0,699.0,1744.0,570.0
02/04/13_9954.0,708.0,935.0,699.0,1744.0,570.0,488.0
02/04/13_9961.0,935.0,699.0,1744.0,570.0,488.0,163.0
02/04/13_9984.0,699.0,1744.0,570.0,488.0,163.0,819.0
02/05/11_8023.0,1744.0,570.0,488.0,163.0,819.0,1104.0
02/05/11_8058.0,570.0,488.0,163.0,819.0,1104.0,490.0
02/05/11_8063.0,488.0,163.0,819.0,1104.0,490.0,227.0
02/05/11_8091.0,163.0,819.0,1104.0,490.0,227.0,1016.0
02/05/11_8094.0,819.0,1104.0,490.0,227.0,1016.0,1044.0
